site,url,recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author,views
arca,https://arca.live/b/hotdeal/108945213?p=7,15,리틀 나이트메어 1 & 2 (스팀 최저가),17,스팀,"16,800원",무료,SW/게임,2024-06-16 02:41,세상아덤벼라,3785
arca,https://arca.live/b/hotdeal/108944962?p=7,13,[티몬역대 갱신] 레이저 바라쿠다 x 게이밍 무선 헤드셋 Barracuda x plus 2.4G+블루투스,38,티몬,"72,276원",무료,가전제품,2024-06-16 02:37,미지인,9094
arca,https://arca.live/b/hotdeal/108943116?p=7,2,에이치덱스 스웨트 85 숏 슬리브,7,29CM,"20,007원","3,500원",의류,2024-06-16 01:58,ㅇㅇ,4461
arca,https://arca.live/b/hotdeal/108942556?p=7,4,"팔도 도시락 컵라면 86g, 12개",39,쿠팡,"7,140원",무료,먹거리,2024-06-16 01:46,ㅇㅇ,3504
arca,https://arca.live/b/hotdeal/108941453?p=7,9,서울우유 멸균우유 1L x 10팩 (1박스),40,위메프,"14,900원",무료,먹거리,2024-06-16 01:20,ㅇㅇ,3229
arca,https://arca.live/b/hotdeal/108941269?p=7,2,스마트에코 안단테 물티슈 62gsm 72매 x 20팩 + 휴대용 12팩,2,티몬,"17,960원",무료,생활용품,2024-06-16 01:16,ㅇㅇ,1428
arca,https://arca.live/b/hotdeal/108939137?p=7,12,(와우할인가) 초록매실 제로 500ml 24개,41,쿠팡,"19,890원",무료,먹거리,2024-06-16 00:16,미모리,3898
arca,https://arca.live/b/hotdeal/108928789?p=7,5,S&W 필리핀 파인애플 슬라이스 836g,53,쿠팡,"2,330원",무료,먹거리,2024-06-15 17:09,IFRT,5442
arca,https://arca.live/b/hotdeal/108928042?p=7,27,유럽 샐러드용 채소 야채 1kg,45,네이버,"5,820원",무료,먹거리,2024-06-15 16:54,ㅇㅇ,6091
arca,https://arca.live/b/hotdeal/108925262?p=7,4,뼈없는 돼지양념구이 300g x 4팩,18,카카오톡,"14,400원",무료,먹거리,2024-06-15 16:08,ㅇㅇ,3177
arca,https://arca.live/b/hotdeal/108923003?p=7,4,이마트 트레이더스 5만원권 최대 9%할인,8,티몬,"46,550원",무료,모바일/상품권,2024-06-15 15:31,ㅇㅇ,2818
arca,https://arca.live/b/hotdeal/108922740?p=7,27,우리동네gs앱 한정) 쏜살치킨 매주 금토일 행사 6.14 - 6.30,125,우리동네gs,"8,900원",무료,먹거리,2024-06-15 15:27,매옹이,8539
