recommend,title,comment,shoppingmall,price,deliveryfee,category,time,author
9,육즙가득한 쟌슨빌 벌크형 소시지 1670g 토스페이,26,티몬,"19,710원",무료,먹거리,2024.06.07,종말의늪
2,"라바짜 에스프레소 마에스트로 리스트레토, 57g, 10개입, 2개",14,쿠팡직구,"5,000원",와우무료,먹거리,2024.06.07,앙냥
9,나노리프 4D 모니터 반응형 LED라이트,13,네이버,"118,840원",무료,PC제품,2024.06.07,짱구는못말
6,"쏜리서치 L-아르기닌 캡슐, 120정, 4개",22,쿠팡,"95,490원",와우무료,먹거리,2024.06.07,인생어렵다
18,올반 아삭 김치볶음밥 220g 10개,18,지마켓,"14,180원",무료,먹거리,2024.06.07,본인:
63,비피아이스포츠 아이소 HD 퓨어 아이솔레이트 프로틴 2.2kg 초콜릿 브라우니맛,93,쿠팡,"58,540원",무료,먹거리,2024.06.07,리버풀FC제라드
29,신상 Aula 독거미 F99 pro 3모드 기계식키보드,140,티몬,"62,550원",무료,PC제품,2024.06.07,토요토리
17,새청무쌀 상등급 10kg,14,티몬,"20,556원",무료,먹거리,2024.06.07,나그파
13,놀부부대찌개 600g x 6팩 + 라면사리 4개,19,티몬,"17,910원",무료,먹거리,2024.06.07,wakfu
3,오빠닭 순살 닭다리 100g 5종 5+5팩,23,지마켓,"15,900원",무료,먹거리,2024.06.07,제발그만해줘
7,매일유업 어메이징 오트 오리지널 귀리음료 190ml x 24개,17,쿠팡,"9,170원",와우무료,먹거리,2024.06.07,foldings
6,피죤 배수구 클리너 드릴펑 1L 5개,15,옥션,"9,970원",무료,생활용품,2024.06.07,foldings
21,본죽 메추리알 장조림 1kg 총 3팩/미니 쇠고기 장조림,71,티몬,"13,131원",무료,먹거리,2024.06.07,슬턴맨
87,10시)삼다수 2L x 6병,93,gsshop,"3,200원",-,먹거리,2024.06.07,6x9=74
-5,제주식 접짝뼈국 1.8kg+소스2봉,24,티몬,"9,450원",무료,먹거리,2024.06.07,버억
8,노가리땅콩/노가리칩 청양마요 12봉 & 혼합 12봉,21,티몬,"토스9,846원",무료,먹거리,2024.06.07,인간사료
7,물걸레 청소포 360매 (30매X12개) 토스페이,12,티몬,"10,656원",무료,생활용품,2024.06.07,산탄
1,액츠 세탁세제 액체 파워젤 일반/드럼 4.2L 용기 x 2개 + 리필 2L 2개,5,롯데온,"14,630원",0원,생활용품,2024.06.07,히트만
6,역대가 [샤오미 미지아] 캡슐 커피머신 S1301 / 20알 커피 캡슐 포함,58,티몬,"56,232원",무료,가전제품,2024.06.07,수매부
98,꽃갈비살 600g,151,홈플러스,"100g5,900원",4만이상무료,먹거리,2024.06.07,맥심모카골드
33,"삼다수 2L 12병 9,108원 / 500ml 40병 13,491원",18,티몬,"9,108원",무료,먹거리,2024.06.07,가리온나찰
58,Sofirn SC28 손전등,109,알리,"24,250원",무료,생활용품,2024.06.07,융융융
7,라인바싸 탄산수 500ml 40개 카카오/토스,26,티몬,"12,933원",무료,먹거리,2024.06.07,제발그만해줘
51,몬스터 파이프라인펀치 355ml x 24캔,140,지마켓,"28,750원",무료,먹거리,2024.06.07,식후유산소
8,샥즈 오픈핏 에어T511 정발판 (6.5 출시 신제품),106,티몬,"토스133,875",무료,가전제품,2024.06.07,삿쨩카와이
15,오통닭/소맛닭 17팩,51,티몬,"22,680원",무료,먹거리,2024.06.07,Impopy
5,신라면 배홍동비빔면 너구리 짜파게티 19입,4,인터파크,"11,800원",무배,먹거리,2024.06.07,wakfu
